[2025-01-11 13:31:37,460: INFO: main: Welcome to our custom log]
[2025-01-11 17:57:42,060: INFO: main: Welcome to our custom log]
[2025-01-11 18:05:01,336: INFO: main: Welcome to our custom log]
[2025-01-14 19:41:22,665: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 19:41:22,693: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 19:41:22,696: INFO: common: created directory at: artifacts_root]
[2025-01-14 19:41:22,696: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:00:33,013: ERROR: 3638245915: An error occurred during data ingestion: DataIngestionConfig.__init__() missing 2 required positional arguments: 'root_dir' and 'unzip_dir']
[2025-01-14 20:06:13,346: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:06:13,354: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:06:13,361: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:06:13,365: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:08:19,014: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:08:19,018: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:08:19,023: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:08:19,026: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:09:28,198: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:09:28,202: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:09:28,206: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:09:28,208: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:10:35,763: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:10:35,768: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:10:35,769: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:10:35,769: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:12:19,402: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:12:19,406: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:12:19,407: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:12:19,407: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:19:48,543: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:19:48,547: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:19:48,552: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:19:48,556: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:20:19,110: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:20:19,114: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:20:19,117: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:20:19,121: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:27:20,875: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:27:20,879: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:27:20,888: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:27:20,892: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:27:20,896: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-14 20:27:47,592: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 20:27:47,596: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 20:27:47,599: INFO: common: created directory at: artifacts_root]
[2025-01-14 20:27:47,602: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 20:27:47,605: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-14 20:30:09,068: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-14 21:22:37,718: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-14 21:22:37,734: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-14 21:22:37,734: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-14 21:22:37,734: INFO: common: created directory at: artifacts_root]
[2025-01-14 21:22:37,738: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-14 21:22:37,739: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-14 21:25:13,962: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-14 21:25:14,835: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
